pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w25000,w35000,w50000,w75000,w100000,w125000,w150000,w200000
142,148,2,27.0,5.5,0,0,46,23,92,92,414,414,437,759
142,148,8,33.00878597,23.17569113,0,0,0,0,0,0,0,23,23,161
142,150,2,74.0,8.25,184,230,575,391,943,1909,1702,3036,3335,4301
142,151,2,15.0,2.75,3542,2599,759,1265,575,1357,2875,3680,3473,5497
142,151,8,12.45176747,6.2636555320000005,437,368,69,161,138,138,437,414,621,575
142,151,3,14.09535468,9.123972091,299,161,92,46,92,115,345,299,299,506
142,152,8,18.47062565,7.402961298999999,138,276,138,276,276,184,414,322,161,368
142,152,5,93.81666667,0.0,0,0,0,23,0,23,0,0,0,0
142,154,2,121.0,5.5,0,0,0,23,0,0,0,0,23,23
142,155,2,83.0,8.25,92,276,230,322,368,1104,2116,3381,2047,2162
142,155,3,53.14770115,50.40931034,0,0,0,0,0,23,0,0,46,0
142,155,8,54.02425708,14.10048744,0,23,23,46,0,161,299,345,345,207
142,157,3,29.94739583,27.90625,0,23,0,0,0,69,46,23,0,0
142,157,2,52.0,8.25,69,230,207,207,230,713,828,736,276,460
142,157,8,32.03456748,9.0924575,46,23,46,23,0,46,69,138,0,46
142,158,3,24.41701814,15.22458878,0,23,0,0,0,0,0,23,0,23
142,160,2,66.0,8.25,184,230,713,1150,598,1587,3818,3473,1380,2323
142,160,3,34.16176471,30.38235294,23,23,0,23,23,69,92,92,46,138
142,161,3,13.49182836,9.221436222000001,23,92,69,69,69,161,207,299,92,322
142,161,5,36.11666667,0.0,115,391,943,437,713,1219,1633,1771,1403,2208
142,161,8,13.08609219,20.87408466,23,0,253,69,368,253,253,184,46,322
142,161,2,20.0,2.75,230,322,736,460,667,1863,2001,1817,1380,2346
142,162,5,43.31666667,0.0,23,0,69,0,46,92,230,69,115,345
142,163,3,9.785218181,6.810725245,0,92,23,23,69,46,138,230,230,207
142,163,5,21.2,0.0,644,1449,529,1495,1541,3220,4094,5520,6302,8142
142,163,2,12.0,2.75,184,483,46,368,230,736,1104,966,667,1725
142,164,8,19.08535038,21.3276823,0,23,0,0,69,161,138,299,345,414
142,164,2,17.0,5.5,69,0,138,115,322,1104,713,1955,3082,4301
142,165,2,61.0,5.5,0,0,46,0,23,0,0,23,0,23
142,166,8,13.95594574,6.729896761,138,115,207,230,115,897,460,506,253,437
142,166,5,76.5,0.0,23,0,46,0,0,46,69,23,69,46
142,166,3,15.32259023,11.58056453,46,69,115,184,23,529,253,184,207,276
142,168,2,41.0,5.5,0,0,69,23,46,0,115,0,23,0
142,168,3,25.86456456,24.12612613,0,0,0,0,0,0,23,0,0,0
142,170,2,21.0,8.25,667,69,529,115,989,1564,3703,1541,3772,6394
142,170,8,20.28006319,21.401165399999996,46,23,23,23,115,46,368,184,345,713
142,170,5,59.96666667,0.0,92,23,23,0,161,253,759,138,529,1012
142,170,3,21.60508189,13.0404565,23,0,0,23,115,92,368,207,184,1058
142,171,2,79.0,8.25,207,184,276,506,253,713,1357,391,437,460
142,171,8,39.63896939999999,13.31344457,0,0,23,46,0,46,184,92,46,115
142,174,8,27.56451104,13.15671652,0,0,0,0,0,0,0,0,0,0
142,174,2,50.0,5.5,0,0,0,0,0,0,184,69,46,69
142,175,2,86.0,8.25,46,69,138,23,23,299,276,184,92,138
142,179,2,46.0,5.5,138,92,276,184,115,138,276,69,69,92
142,179,8,33.85710201,8.044315137,0,23,0,0,23,0,0,0,23,0
142,181,3,51.19711359,33.1396648,23,0,0,0,46,23,23,69,0,115
142,181,2,51.0,5.5,299,759,920,989,874,2277,2921,3427,2139,4347
142,181,8,44.86270379999999,11.04183303,46,46,46,92,46,299,253,414,207,437
142,182,8,27.59498512,11.86586764,23,0,0,0,23,0,0,23,0,0
142,185,8,31.69459635,12.962672,0,0,0,0,23,0,0,23,0,0
142,186,5,51.8,0.0,23,23,0,0,46,230,184,391,483,345
142,186,3,16.76850422,10.26236983,0,0,23,0,0,161,69,253,230,230
142,186,2,14.0,2.75,161,207,207,161,368,1886,2369,3036,2760,3082
142,186,8,16.2646019,21.1922407,23,23,46,0,23,368,322,460,299,345
142,188,2,63.0,2.75,92,69,276,207,161,805,1587,851,851,460
142,191,2,78.0,11.0,0,0,23,0,23,23,0,23,23,46
142,191,8,46.07222222,15.89362286,0,0,0,0,0,0,0,0,0,0
142,192,2,67.0,8.25,46,69,138,92,23,115,138,138,69,46
142,193,8,42.46378259,7.468961584,23,23,0,0,0,23,23,0,0,0
142,193,5,107.15,0.0,0,46,0,0,0,0,0,0,0,0
142,193,2,42.0,8.25,92,414,138,207,92,115,184,0,0,23
142,195,8,35.69156577,10.83349943,0,0,0,23,23,0,46,0,0,0
142,195,2,66.0,5.5,69,115,0,0,0,69,0,0,0,23
142,195,3,34.924,31.98,0,0,0,0,0,0,0,0,0,0
142,196,2,56.0,5.5,46,23,92,207,115,598,920,782,1150,690
142,196,8,63.42089923,10.22933333,46,0,0,23,23,92,23,46,115,92
142,197,3,45.02105263,47.81578947,0,0,23,0,0,0,23,0,0,0
142,197,2,59.0,8.25,69,437,1012,391,506,2645,3243,2162,1357,2001
142,197,8,45.44266917,13.37035243,0,23,46,92,46,322,253,230,138,230
142,198,3,37.87063492,31.76190476,46,0,23,69,23,46,46,23,46,0
142,198,2,56.0,5.5,851,368,621,644,368,1495,1978,1150,575,552
142,200,3,28.59450085,31.03553299,0,23,0,0,23,69,92,0,0,23
142,202,2,37.0,5.5,23,0,0,46,46,92,115,161,92,69
142,202,5,116.06666670000001,0.0,0,0,0,0,0,23,0,0,0,0
142,202,3,21.40034364,18.82474227,0,0,23,0,0,23,0,23,46,0
142,205,8,57.59188034,16.24820966,0,0,0,0,0,0,46,23,23,0
142,205,2,69.0,8.25,0,0,23,0,23,92,138,92,138,92
142,209,8,34.3744508,23.8265013,0,0,0,0,0,0,0,0,0,0
142,210,3,42.73333333,56.66666667,0,0,0,0,0,23,0,0,0,0
142,211,8,33.72591884,22.63982078,0,0,0,0,0,23,0,23,0,0
142,213,3,30.89861111,37.39583333,0,0,0,23,0,0,0,0,0,0
142,215,8,51.30911681,14.76605241,0,0,0,0,0,0,23,23,0,23
142,215,2,65.0,8.25,0,23,69,23,23,92,46,46,92,46
142,217,8,41.24023166,9.866104615,23,23,23,46,23,69,23,0,23,0
142,219,2,86.0,8.25,0,0,0,0,0,23,0,23,0,0
142,220,8,26.89078539,10.84792889,0,0,23,23,46,69,46,0,0,46
142,220,2,54.0,2.75,69,138,161,230,161,253,460,368,414,437
142,223,2,46.0,5.5,92,253,368,322,184,644,851,529,368,253
142,224,2,30.0,5.5,0,0,115,0,0,69,299,460,1035,322
142,224,8,26.07242808,22.41891561,23,0,0,0,0,0,46,115,69,23
142,225,3,34.39679912,30.17880795,0,0,0,0,0,46,46,46,46,0
