w_zip,h_zip,total,initialFeat,true_label
11213,10458,20,3.0,3
11213,10459,8,3.0,3
11213,10460,15,3.0,3
11213,10461,12,3.0,3
11213,10462,21,3.0,3
11213,10463,27,3.0,3
11213,10465,14,3.0,3
11213,10466,23,3.0,3
11213,10467,15,3.0,3
11213,10468,37,3.0,3
11213,10469,21,3.0,3
11213,10470,6,3.0,3
11213,10471,14,3.0,3
11213,10472,38,3.0,3
11213,10473,21,3.0,3
11213,10474,1,3.0,3
11213,10475,14,3.0,3
11213,11001,4,3.0,3
11213,11004,11,3.0,3
11213,11005,1,3.0,3
11213,11040,1,3.0,3
11213,11101,21,3.0,3
11213,11102,4,3.0,3
11213,11103,7,3.0,3
11213,11104,36,3.0,3
11213,11105,6,3.0,3
11213,11106,5,3.0,3
11213,11109,1,3.0,3
11213,11201,74,3.0,3
11213,11203,334,3.0,3
11213,11204,53,3.0,3
11213,11205,54,3.0,3
11213,11206,114,3.0,3
11213,11207,225,3.0,3
11213,11208,224,3.0,3
11213,11209,52,3.0,3
11213,11210,163,3.0,3
11213,11211,62,3.0,3
11213,11212,271,3.0,3
11213,11213,1062,3.0,3
11213,11214,47,3.0,3
11213,11215,70,3.0,3
11213,11216,166,3.0,3
11213,11217,43,3.0,3
11213,11218,107,3.0,3
11213,11219,69,3.0,3
11213,11220,60,3.0,3
11213,11221,156,3.0,3
11213,11222,40,3.0,3
11213,11223,52,3.0,3
11213,11224,33,3.0,3
11213,11225,404,3.0,3
11213,11226,238,3.0,3
11213,11228,22,3.0,3
11213,11229,69,3.0,3
11213,11230,134,3.0,3
11213,11231,46,3.0,3
11213,11232,30,3.0,3
11213,11233,209,3.0,3
11213,11234,263,3.0,3
11213,11235,60,3.0,3
11213,11236,304,3.0,3
11213,11237,64,3.0,3
11213,11238,165,3.0,3
11213,11239,22,3.0,3
11213,11354,26,3.0,3
11213,11355,27,3.0,3
11213,11356,7,3.0,3
11213,11357,10,3.0,3
11213,11358,13,3.0,3
11213,11360,4,3.0,3
11213,11361,15,3.0,3
11213,11362,9,3.0,3
11213,11363,3,3.0,3
11213,11364,23,3.0,3
11213,11365,22,3.0,3
11213,11366,11,3.0,3
11213,11367,14,3.0,3
11213,11368,27,3.0,3
11213,11369,13,3.0,3
11213,11370,14,3.0,3
11213,11372,15,3.0,3
11213,11373,38,3.0,3
11213,11374,20,3.0,3
11213,11375,32,3.0,3
11213,11377,53,3.0,3
11213,11378,50,3.0,3
11213,11379,38,3.0,3
11213,11385,86,3.0,3
11213,11411,14,3.0,3
11213,11412,25,3.0,3
11213,11413,38,3.0,3
11213,11414,19,3.0,3
11213,11415,15,3.0,3
11213,11416,18,3.0,3
11213,11417,23,3.0,3
11213,11418,31,3.0,3
11213,11419,34,3.0,3
11213,11420,50,3.0,3
11213,11421,25,3.0,3
11213,11422,34,3.0,3
11213,11423,31,3.0,3
11213,11426,14,3.0,3
11213,11427,15,3.0,3
11213,11428,15,3.0,3
11213,11429,29,3.0,3
11213,11432,32,3.0,3
11213,11433,27,3.0,3
11213,11434,55,3.0,3
11213,11435,34,3.0,3
11213,11436,8,3.0,3
11213,11691,46,3.0,3
11213,11692,22,3.0,3
11213,11693,17,3.0,3
11213,11694,26,3.0,3
11213,11697,10,3.0,3
11212,10001,10,3.0,3
11212,10002,35,3.0,3
11212,10003,17,3.0,3
11212,10004,3,3.0,3
11212,10005,4,3.0,3
11212,10006,3,3.0,3
11212,10007,6,3.0,3
11212,10009,27,3.0,3
11212,10010,6,3.0,3
11212,10011,18,3.0,3
11212,10012,10,3.0,3
11212,10013,15,3.0,3
11212,10014,16,3.0,3
11212,10016,9,3.0,3
11212,10017,1,3.0,3
11212,10018,1,3.0,3
11212,10019,6,3.0,3
11212,10021,11,3.0,3
11212,10022,5,3.0,3
11212,10023,16,3.0,3
11212,10024,10,3.0,3
11212,10025,23,3.0,3
11212,10026,17,3.0,3
11212,10027,28,3.0,3
11212,10028,2,3.0,3
11212,10029,33,3.0,3
11212,10030,11,3.0,3
11212,10031,19,3.0,3
11212,10032,16,3.0,3
11212,10033,23,3.0,3
11212,10034,12,3.0,3
11212,10035,11,3.0,3
11212,10036,5,3.0,3
11212,10037,12,3.0,3
11212,10038,15,3.0,3
11212,10039,15,3.0,3
11212,10040,12,3.0,3
11212,10065,9,3.0,3
11212,10069,1,3.0,3
11212,10075,4,3.0,3
11212,10103,1,3.0,3
11212,10128,22,3.0,3
11212,10280,3,3.0,3
11212,10282,2,3.0,3
11212,10301,19,3.0,3
11212,10302,16,3.0,3
11212,10303,12,3.0,3
11212,10304,38,3.0,3
11212,10305,40,3.0,3
11212,10306,47,3.0,3
11212,10307,6,3.0,3
11212,10308,17,3.0,3
11212,10309,20,3.0,3
11212,10310,17,3.0,3
11212,10312,45,3.0,3
11212,10314,66,3.0,3
11212,10451,25,3.0,3
11212,10452,40,3.0,3
11212,10453,35,3.0,3
11212,10454,18,3.0,3
11212,10455,20,3.0,3
11212,10456,42,3.0,3
11212,10457,29,3.0,3
11212,10458,30,3.0,3
11212,10459,11,3.0,3
11212,10460,18,3.0,3
11212,10461,21,3.0,3
11212,10462,44,3.0,3
11212,10463,27,3.0,3
11212,10464,4,3.0,3
11212,10465,20,3.0,3
11212,10466,30,3.0,3
11212,10467,35,3.0,3
11212,10468,31,3.0,3
11212,10469,27,3.0,3
11212,10470,8,3.0,3
11212,10471,9,3.0,3
11212,10472,31,3.0,3
11212,10473,29,3.0,3
11212,10474,8,3.0,3
11212,10475,28,3.0,3
11212,11001,6,3.0,3
11212,11003,1,3.0,3
11212,11004,20,3.0,3
11212,11005,1,3.0,3
11212,11040,5,3.0,3
11212,11101,22,3.0,3
11212,11102,16,3.0,3
11212,11103,11,3.0,3
11212,11104,24,3.0,3
11212,11105,13,3.0,3
11212,11106,24,3.0,3
11212,11109,6,3.0,3
11212,11201,76,3.0,3
11212,11203,430,3.0,3
11212,11204,46,3.0,3
11212,11205,65,3.0,3
11212,11206,93,3.0,3
11212,11207,379,3.0,3
11212,11208,323,3.0,3
11212,11209,53,3.0,3
11212,11210,245,3.0,3
11212,11211,78,3.0,3
11212,11212,847,3.0,3
11212,11213,194,3.0,3
11212,11214,90,3.0,3
11212,11215,75,3.0,3
11212,11216,137,3.0,3
11212,11217,61,3.0,3
